Job_Number,Category,# Total,# Complete,# In Process,# Not Started,% Complete,% Complete (Text),CategorySortOrder
11582D-131,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-132,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-133,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-135,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-136,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-138,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-142,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-143,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-144,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-145,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-150,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-151,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-154,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-156,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-157,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-158,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-163,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-164,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-165,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-166,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-174,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-175,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-176,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-177,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-18,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-180,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-183,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-184,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-185,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-186,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-19,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-192,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-193,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-194,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-195,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-20,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-200,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-201,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-202,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-206,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-207,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-208,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-209,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-22,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-25,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-26,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-27,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-28,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-33,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-34,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-35,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-36,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-44,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-23,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-24,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-29,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-30,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-31,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-32,Outside Service Routing,0,0,0,0,0.0,0%,3
